m     n     #MCD    #Rew
3	10	9	0	0.055	0.0
3	20	18	0	0.057	0.0
3	30	24	0	0.042	0.0
3	40	26	0	0.036	0.0
3	50	41	0	0.028	0.0
3	60	56	0	0.033	0.0
3	70	52	0	0.035	0.0
3	80	66	0	0.041	0.0
3	90	74	0	0.045	0.0
3	100	89	0	0.053	0.0010
4	10	15	0	0.112	0.0
4	20	37	0	0.063	0.0
4	30	33	0	0.069	0.0
4	40	57	0	0.082	0.0
4	50	80	0	0.103	0.0
4	60	88	0	0.109	0.0
4	70	103	0	0.136	0.0
4	80	116	0	0.169	0.0
4	90	138	0	0.147	0.0
4	100	188	0	0.143	0.0
5	10	31	0	0.146	0.0
5	20	52	0	0.171	0.0
5	30	71	0	0.197	0.0
5	40	90	0	0.287	0.0
5	50	132	0	0.269	0.0
5	60	133	0	0.383	0.0
5	70	165	0	0.398	0.0
5	80	181	0	0.416	0.0
5	90	245	0	0.47	0.0
5	100	262	0	0.548	0.0
6	10	40	0	0.221	0.0
6	20	74	0	0.38	0.0
6	30	89	0	0.949	0.0
6	40	144	0	0.852	0.0
6	50	179	0	0.861	0.0
6	60	205	0	1.123	0.0
6	70	244	0	1.177	0.0
6	80	292	0	1.368	0.0
6	90	315	0	2.106	0.0
6	100	379	0	1.75	0.0
7	10	53	0	0.294	0.0
7	20	100	0	1.297	0.0
7	30	131	0	4.734	0.0
7	40	194	0	4.104	0.0
7	50	239	0	3.831	0.0
7	60	295	0	7.745	0.0
7	70	335	0	4.856	0.0
7	80	407	0	9.433	0.0
7	90	468	0	5.049	0.0
7	100	503	0	8.177	0.0
8	10	72	0	0.581	0.0
8	20	129	0	5.271	0.0
8	30	188	0	28.032	0.0
8	40	249	0	18.96	0.0
8	50	319	0	8.551	0.0
8	60	368	0	46.778	0.0
8	70	445	0	40.505	0.0
8	80	509	0	93.394	0.0
8	90	592	0	67.033	0.0
8	100	672	0	38.145	0.0
